name,model_type,hidden_size,learning_rate,num_episodes,epsilon,online_learning_rate,memory_size,entropy_coefficient,training_agent_names,num_training_agents,cooperation_rate,retaliation_rate,forgiveness_rate,win_rate,avg_points_per_round,avg_score_per_game,score_variance,training_agents
Bot_220,RNN,25,0.01946875546459164,20,0.17707846632770885,0.07934188023925012,12,0.0010558889272795544,"TwoTitsForTat,TitForTwoTats,Pavlov,MajorityRule,TitforTat",5,0.37537688442211053,0.587389607722325,0.8509933774834437,0.0847457627118644,1.2765494137353435,255.1864406779661,19334.151680551568,5
Bot_221,RNN,8,0.011604029261394868,33,0.19405305722106003,0.050371926263347334,16,0.003665498443746594,"AlwaysCooperate,Pavlov,TitforTat,GrimTrigger,Random,MajorityRule,Opposite",7,0.3969849246231156,0.5697872340425532,0.7965451055662188,0.11864406779661017,1.3748743718592964,275.6101694915254,39804.23786268315,7
Bot_222,LSTM,32,0.03675641093651165,27,0.06475473942629237,0.15013550639404027,16,0.0018299169301279634,"AlwaysCooperate,Pavlov,TwoTitsForTat,Opposite,Random,MajorityRule,AlwaysDefect",7,0.0,0.9136015325670498,0.0,0.5084745762711864,1.5025125628140703,293.91525423728814,14302.280953748921,7
Bot_223,LSTM,28,0.010814624224173156,39,0.06606600099453681,0.06989120108190316,11,0.0023746219958913663,"MajorityRule,GrimTrigger,Random",3,0.0005025125628140704,0.9411121239744759,0.75,0.4745762711864407,1.32428810720268,263.8135593220339,3627.4737144498704,3
Bot_224,LSTM,16,0.02955048141940622,45,0.18645477953220713,0.05329280828970675,16,0.00691078427117177,"TitforTat,AlwaysDefect,TwoTitsForTat",3,0.3680067001675042,0.5956878850102669,0.8684210526315789,0.1016949152542373,1.2830820770519262,255.38983050847457,17530.27176098822,3
Bot_225,RNN,17,0.024450769828263698,21,0.08250400776790323,0.07024363380053514,17,0.003558042679934731,"Opposite,TitforTat,AlwaysCooperate,AlwaysDefect,GrimTrigger,TwoTitsForTat,TitForTwoTats,MajorityRule",8,0.1844221105527638,0.7721946375372393,0.8854748603351955,0.1016949152542373,1.399497487437186,277.91525423728814,18953.501292731977,8
Bot_226,RNN,29,0.012843619038671993,21,0.07912727774223369,0.18025707498988308,17,0.0014496753538906207,"Random,AlwaysCooperate,AlwaysDefect,TwoTitsForTat,TitForTwoTats",5,0.19614740368509212,0.743847027641045,0.949671772428884,0.3220338983050847,1.2445561139028476,247.3728813559322,11749.623671358802,5
Bot_227,LSTM,28,0.03397268414392303,29,0.16258380125816504,0.14530871918456856,16,0.0010250951401580691,"AlwaysCooperate,Random,Opposite,GrimTrigger,MajorityRule,TitForTwoTats,TwoTitsForTat",7,0.01440536013400335,0.9311608175858079,0.8524590163934426,0.3728813559322034,1.510217755443886,302.40677966101697,19181.326055731108,7
Bot_228,RNN,12,0.034554489758815386,50,0.17945524148651015,0.17424793133900013,19,0.001340779822650862,"Pavlov,Opposite,AlwaysDefect,TwoTitsForTat",4,0.19061976549413737,0.7361169102296451,0.8592814371257486,0.3050847457627119,1.5698492462311557,314.54237288135596,42821.739729962654,4
Bot_229,LSTM,13,0.025141832872510348,38,0.08269504820489791,0.10789683030533669,17,0.00694599616118987,"TitForTwoTats,Pavlov,Opposite,GrimTrigger,TwoTitsForTat,MajorityRule,AlwaysCooperate",7,0.09112227805695143,0.8514252245216712,0.8351063829787234,0.1864406779661017,1.468174204355109,293.3898305084746,27966.034472852632,7
Bot_230,LSTM,19,0.014818755634486166,40,0.18853848303170762,0.11877345834483162,12,0.0017570706369801291,"AlwaysCooperate,Pavlov,AlwaysDefect",3,0.007202680067001675,0.9226618705035972,0.16129032258064516,0.423728813559322,1.639363484087102,328.3898305084746,27580.542947428898,3
Bot_231,RNN,20,0.008723091853693778,49,0.12912421349806966,0.14061679726909496,18,0.0011530963086520286,"Opposite,MajorityRule,TitForTwoTats,Random,TitforTat",5,0.31206030150753766,0.664291217257319,0.9028871391076115,0.15254237288135594,1.1512562814070353,227.54237288135593,11857.909221488077,5
Bot_232,LSTM,9,0.027105822873715817,27,0.1820221672896446,0.08726212259045912,19,0.0020043306904602267,"Opposite,Random,MajorityRule",3,0.0006700167504187605,0.9253523922970022,0.6666666666666666,0.4745762711864407,1.62428810720268,325.33898305084745,32673.47831083023,3
Bot_233,RNN,32,0.006026296161609078,42,0.06569804590143843,0.07011272539015037,14,0.004932532631528674,"Opposite,AlwaysCooperate,GrimTrigger,TwoTitsForTat",4,0.29447236180904524,0.6666666666666666,0.8678899082568807,0.13559322033898305,1.196147403685092,237.71186440677965,15683.391554151107,4
Bot_234,RNN,23,0.005747368880246636,48,0.07624339213012692,0.19679738630199783,11,0.0013784191217086931,"AlwaysCooperate,TwoTitsForTat,Pavlov",3,0.28492462311557787,0.646050214329455,0.9175257731958762,0.2542372881355932,1.374539363484087,274.49152542372883,27129.84314852054,3
Bot_235,LSTM,29,0.006552129228719215,37,0.05500169170775087,0.12668411733291887,11,0.0027699064442477973,"Pavlov,AlwaysCooperate,Random,Opposite",4,0.0006700167504187605,0.893304192330618,1.0,0.4406779661016949,1.6271356783919597,325.7118644067797,29328.84918126975,4
Bot_236,LSTM,22,0.013507684466897697,39,0.1469796580550813,0.09841874170717918,16,0.0022073731646764703,"Random,Pavlov,Opposite,MajorityRule,AlwaysDefect,GrimTrigger,TitforTat,AlwaysCooperate",8,0.047906197654941376,0.897244094488189,0.8571428571428571,0.4406779661016949,1.5234505862646566,301.9491525423729,26553.099109451305,8
Bot_237,RNN,32,0.03509770375024472,48,0.10746181068733408,0.11573610415742307,14,0.0011026488715435213,"TitforTat,Opposite,TwoTitsForTat,AlwaysDefect,AlwaysCooperate,GrimTrigger,MajorityRule",7,0.3331658291457286,0.594655704008222,0.9380776340110907,0.1864406779661017,1.359463986599665,271.0169491525424,41112.32174662454,7
Bot_238,RNN,16,0.014107885844600392,22,0.13326337395127208,0.10393193316350102,17,0.0038596790698748034,"AlwaysDefect,AlwaysCooperate,TitforTat,TitForTwoTats,MajorityRule,GrimTrigger,TwoTitsForTat",7,0.17671691792294808,0.7634555382215289,0.8895463510848125,0.1694915254237288,1.3539363484087101,269.6101694915254,8433.356506750935,7
Bot_239,RNN,15,0.00853223939178231,47,0.1601941699930859,0.08826647088732623,13,0.0015312110813166548,"TitForTwoTats,GrimTrigger,AlwaysDefect,TitforTat,Random",5,0.1695142378559464,0.7842525823426233,0.8192982456140352,0.1694915254237288,1.3609715242881073,271.8305084745763,20517.361103131283,5
Bot_240,LSTM,30,0.013118564354424544,21,0.12870054962648375,0.1842245572540317,16,0.0028295660114253723,"Pavlov,Opposite,MajorityRule,TwoTitsForTat,GrimTrigger,AlwaysDefect,Random",7,0.0,0.9650532610726967,0.0,0.423728813559322,1.4147403685092128,282.93220338983053,29813.41913243321,7
Bot_241,LSTM,28,0.01462145603635166,45,0.1210940236230026,0.14303807241015695,18,0.006086416420390923,"Opposite,Random,GrimTrigger,Pavlov,MajorityRule,TitforTat",6,0.09279731993299832,0.8261970048512972,0.5821596244131455,0.3389830508474576,1.7135678391959799,342.1525423728813,40879.95978167194,6
Bot_242,RNN,24,0.007787995535901032,22,0.05441858799373361,0.17717851289192127,20,0.0017939567436590555,"MajorityRule,Opposite,GrimTrigger,Random,AlwaysCooperate,Pavlov",6,0.2098827470686767,0.7577092511013216,0.8154761904761905,0.2542372881355932,1.241708542713568,247.32203389830508,7397.743751795461,6
